Date,Opponent,Result,G,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
11/08/2022,@ Moravian,77-74,1,200:00,32,61,5,17,8,11,77,10,26,36,12,13,7,3,11,,
,Defensive Totals,,1,200:00,27,58,12,31,8,10,74,5,21,26,17,12,5,2,16,,1
11/12/2022,Susquehanna,71-56,1,200:00,24,56,10,21,13,22,71,10,30,40,12,11,9,3,16,,
,Defensive Totals,,1,200:00,17,53,4,11,18,21,56,8,26,34,9,13,4,1,18,2,1
11/16/2022,King's (PA),76-63,1,200:00,27,61,12,31,10,14,76,8,28,36,20,8,6,4,14,,
,Defensive Totals,,1,200:00,23,59,5,14,12,13,63,9,26,35,14,11,2,1,16,1,
11/22/2022,@ Swarthmore,80-85 (1),1,225:00,28,66,11,29,13,21,80,8,26,34,12,7,8,6,16,,
,Defensive Totals,,1,225:00,30,68,8,15,17,20,85,14,37,51,13,11,4,6,19,,
11/29/2022,Ursinus,69-65,1,200:00,27,66,6,22,9,12,69,11,30,41,12,11,7,5,14,1,
,Defensive Totals,,1,200:00,24,60,3,17,14,22,65,9,31,40,10,10,8,5,15,,
12/03/2022,@ Johns Hopkins,84-77,1,200:00,31,56,8,16,14,18,84,7,24,31,10,16,6,7,18,1,
,Defensive Totals,,1,200:00,28,67,5,25,16,24,77,17,21,38,9,10,7,,21,1,
12/07/2022,Drew,84-61,1,200:00,34,59,12,26,4,10,84,9,29,38,23,14,5,6,13,,
,Defensive Totals,,1,200:00,23,67,6,25,9,14,61,16,17,33,8,11,5,,10,,
12/19/2022,@ DeSales,67-68,1,200:00,26,52,8,18,7,10,67,9,19,28,11,14,4,2,16,,
,Defensive Totals,,1,200:00,27,55,4,15,10,12,68,10,17,27,13,10,6,,15,,
12/29/2022,@ Whitman,65-63,1,200:00,24,58,1,11,16,25,65,10,28,38,2,8,8,4,12,,
,Defensive Totals,,1,199:47,23,60,9,34,8,13,63,10,27,37,8,10,7,,19,,
12/31/2022,@ Whitworth,51-73,1,200:00,20,67,8,34,3,7,51,9,21,30,11,6,6,4,12,,
,Defensive Totals,,1,200:00,31,58,4,15,7,12,73,8,40,48,16,11,3,1,11,,
01/04/2023,Franklin & Marshall,73-77,1,200:00,27,59,7,17,12,15,73,9,26,35,14,12,6,7,15,,
,Defensive Totals,,1,200:00,29,61,9,20,10,18,77,12,24,36,20,9,5,3,14,,
01/07/2023,McDaniel,80-55,1,200:00,31,49,11,20,7,11,80,6,28,34,17,18,8,7,14,,
,Defensive Totals,,1,200:00,20,58,3,11,12,15,55,11,14,25,6,10,12,1,11,,
01/10/2023,@ Gettysburg,59-74,1,200:00,22,51,6,13,9,14,59,6,25,31,5,18,6,1,18,,
,Defensive Totals,,1,200:00,28,54,7,18,11,18,74,3,26,29,9,12,9,5,12,,
01/12/2023,Dickinson,84-68,1,200:00,28,60,8,23,20,27,84,13,29,42,14,16,7,2,17,,
,Defensive Totals,,1,200:00,25,58,5,19,13,20,68,7,23,30,11,16,7,1,16,,
01/14/2023,@ Washington Col.,90-63,1,200:00,34,63,10,19,12,15,90,9,27,36,19,8,7,5,14,,
,Defensive Totals,,1,200:00,23,64,10,30,7,10,63,13,21,34,15,13,4,6,16,,
01/18/2023,@ Haverford,82-61,1,200:00,34,62,11,25,3,5,82,7,33,40,18,11,6,4,14,,
,Defensive Totals,,1,200:00,22,63,6,20,11,14,61,10,23,33,13,9,6,3,8,,
01/21/2023,Johns Hopkins,65-77,1,200:00,24,56,5,20,12,20,65,5,23,28,4,7,5,3,21,,
,Defensive Totals,,1,200:00,24,52,6,18,23,32,77,9,31,40,11,13,5,3,18,2,
01/26/2023,Swarthmore,65-88,1,200:00,25,54,5,14,10,17,65,6,19,25,12,14,3,2,13,,
,Defensive Totals,,1,200:00,34,67,7,17,13,16,88,15,26,41,17,11,7,4,20,,
01/28/2023,Gettysburg,72-62,1,200:00,25,49,3,8,19,26,72,4,27,31,8,14,4,4,15,1,1
,Defensive Totals,,1,200:00,24,60,2,15,12,15,62,12,26,38,6,14,9,7,21,1,
02/01/2023,@ Dickinson,61-77,1,200:00,23,64,4,14,11,17,61,11,23,34,7,6,7,7,12,,
,Defensive Totals,,1,200:00,29,62,9,16,10,17,77,13,33,46,16,13,4,3,18,,1
02/04/2023,@ McDaniel,78-65,1,200:00,24,53,3,15,27,30,78,8,34,42,7,15,2,7,25,,
,Defensive Totals,,1,200:00,18,64,4,12,25,37,65,20,23,43,5,11,4,2,26,1,
02/07/2023,Haverford,71-65,1,200:00,25,52,9,19,12,15,71,9,26,35,12,16,9,4,10,,
,Defensive Totals,,1,200:00,27,60,8,23,3,6,65,10,19,29,13,15,10,3,14,,
02/11/2023,@ Franklin & Marshall,81-67,1,200:00,29,54,7,20,16,18,81,7,30,37,12,13,7,4,18,,
,Defensive Totals,,1,200:00,25,63,7,21,10,19,67,15,19,34,16,13,9,1,20,,
02/15/2023,@ Ursinus,94-61,1,200:00,37,57,8,19,12,17,94,5,28,33,11,9,3,2,14,,
,Defensive Totals,,1,200:00,23,55,3,14,12,14,61,6,19,25,9,12,2,1,15,,
02/18/2023,Washington Col.,86-70,1,200:00,31,57,6,15,18,27,86,10,34,44,16,13,3,2,15,,
,Defensive Totals,,1,200:00,25,61,7,24,13,16,70,6,20,26,12,7,4,2,17,,1
02/21/2023,Ursinus,74-53,1,200:00,27,59,4,17,16,23,74,12,27,39,9,11,9,4,14,,
,Defensive Totals,,1,200:00,20,59,5,20,8,13,53,14,22,36,11,17,3,4,22,1,
02/24/2023,@ Johns Hopkins,51-85,1,200:00,20,59,3,21,8,16,51,6,24,30,8,12,3,3,19,1,
,Defensive Totals,,1,200:00,31,63,6,17,17,29,85,13,37,50,14,7,5,4,14,,
