Date,Opponent,Result,G,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
11/05/2021,Moravian,94-71,1,200:00,37,66,11,29,9,16,94,8,27,35,22,17,12,4,12,,
,Defensive Totals,,1,200:00,30,72,5,24,6,8,71,13,21,34,15,20,6,3,16,,
11/09/2021,@ Drew,81-76,1,200:00,33,66,5,20,10,14,81,12,27,39,20,14,12,1,21,1,
,Defensive Totals,,1,200:00,24,53,8,28,20,30,76,7,23,30,16,14,6,3,14,,1
11/12/2021,"Penn St. Harrisburg@ Annville, PA",59-81,1,200:00,23,55,9,24,4,11,59,9,25,34,15,20,7,2,14,,
,Defensive Totals,,1,200:00,26,62,8,26,21,25,81,12,25,37,19,9,11,2,15,,
11/13/2021,@ Lebanon Valley,66-82,1,200:00,24,58,7,27,11,20,66,11,21,32,13,13,9,9,13,,
,Defensive Totals,,1,200:00,32,62,9,16,9,16,82,10,28,38,21,11,4,,17,,
11/18/2021,@ Susquehanna,72-90,1,200:00,25,52,5,18,17,20,72,12,23,35,8,18,5,8,18,1,
,Defensive Totals,,1,200:00,32,70,12,28,14,16,90,17,17,34,21,8,9,3,17,,
11/23/2021,Swarthmore,75-79,1,200:00,28,56,10,24,9,13,75,5,19,24,15,8,5,6,14,,
,Defensive Totals,,1,200:00,30,63,10,27,9,9,79,13,22,35,19,9,2,3,13,,
11/30/2021,@ Ursinus,71-77,1,200:00,29,61,6,26,7,12,71,10,22,32,8,9,8,7,10,,
,Defensive Totals,,1,200:00,29,58,14,29,5,6,77,7,26,33,23/,12,4,1,13,,
12/04/2021,Johns Hopkins,58-76,1,200:00,21,50,9,26,7,11,58,6,27,33,9,17,10,5,12,,
,Defensive Totals,,1,200:00,27,65,14,42,8,12,76,13,26,39,18,10,8,2,13,,
12/12/2021,@ King's (PA),68-59,1,200:00,25,53,4,23,14,21,68,8,33,41,17,18,8,8,14,,
,Defensive Totals,,1,200:00,20,62,4,22,15,18,59,10,25,35,15,13,9,,19,,
12/20/2021,DeSales,60-72,1,200:00,22,57,7,27,9,11,60,6,24,30,13,10,7,4,11,,
,Defensive Totals,,1,200:00,30,61,4,18,8,14,72,13,29,42,23,13,6,3,13,,
01/13/2022,@ Dickinson,61-52,1,200:00,19,55,8,25,15,22,61,9,31,40,9,13,13,3,19,,
,Defensive Totals,,1,200:00,16,61,5,25,15,20,52,16,30,46,9,16,5,4,19,1,
01/15/2022,Washington Col.,87-74 (1),1,225:00,26,54,8,27,27,34,87,9,31,40,14,19,8,4,12,,2/
,Defensive Totals,,1,225:00,28,69,7,26,11,16,74,13,22,35,18,15,15,1,22,1,1
01/17/2022,@ Franklin & Marshall,54-73,1,200:00,21,51,5,16,7,10,54,4,18,22,9,12,9,8,9,,
,Defensive Totals,,1,200:00,27,59,16,30,3,3,73,13,26,39,21,16,6,5,14,,
01/19/2022,Haverford,62-68,1,200:00,21,54,5,21,15,20,62,6,20,26,6,14,9,3,16,,
,Defensive Totals,,1,200:00,24,50,6,23,14,20,68,7,28,35,15,16,9,2,21,,
01/22/2022,@ Johns Hopkins,63-83,1,200:00,23,51,3,14,14,20,63,7,22,29,7,17,9,3,14,,
,Defensive Totals,,1,200:00,29,59,14,34,11,16,83,12,26,38,20,15,13,5,20,,1
01/25/2022,Gettysburg,48-63,1,200:00,18,54,5,21,7,11,48,7,23,30,10,14,6,1,13,,
,Defensive Totals,,1,200:00,29,64,2,16,3,12,63,17,32,49,17,15,8,3,14,,
01/27/2022,@ Swarthmore,76-60,1,200:00,27,49,9,19,13,22,76,6,33,39,15,14,3,4,14,,
,Defensive Totals,,1,200:00,23,71,4,25,10,12,60,15,20,35,7,7,3,4,18,,
01/29/2022,@ Gettysburg,57-73,1,200:00,24,63,4,19,5,5,57,7,23,30,8,10,7,4,15,,
,Defensive Totals,,1,200:00,28,57,7,15,10,18,73,12,32,44,13,13,9,3,11,,
01/31/2022,@ McDaniel,83-52,1,200:00,30,51,12,19,11,17,83,14,29,43,16,14,7,6,15,,
,Defensive Totals,,1,200:00,22,58,1,10,7,11,52,11,11,22,6,11,4,1,16,,
02/02/2022,Dickinson,67-69,1,200:00,28,62,7,18,4,6,67,9,26,35,13,14,11,6,13,1,
,Defensive Totals,,1,200:00,23,60,10,30,13,16,69,13,25,38,16,14,7,3,8,,
02/05/2022,McDaniel,61-62,1,200:00,21,45,6,14,13,22,61,4,22,26,11,13,7,6,13,,
,Defensive Totals,,1,200:00,22,50,8,17,10,15,62,5,25,30,14,11,7,3,21,,1
02/08/2022,@ Haverford,74-85,1,200:00,26,56,7,21,15,21,74,13,23,36,13,16,8,4,20,1,
,Defensive Totals,,1,200:00,28,58,11,25,18,22,85,9,21,30,20,12,8,4,22,,
02/12/2022,Franklin & Marshall,73-67,1,200:00,25,49,8,20,15,22,73,5,23,28,17,17,6,5,17,,
,Defensive Totals,,1,200:00,26,56,3,14,12,22,67,9,21,30,12,13,11,,19,,
02/16/2022,Ursinus,83-77,1,200:00,25,49,10,21,23,35,83,4,29,33,12,19,10,4,11,,
,Defensive Totals,,1,200:00,31,68,11,29,4,6,77,8,25,33,17,18,9,1,28,2,
02/19/2022,@ Washington Col.,81-83,1,200:00,29,59,5,23,18,22,81,9,27,36,20,12,7,3,16,1,
,Defensive Totals,,1,200:00,28,57,12,23,15,22,83,6,23,29,18,12,7,1,15,,
