Date,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG
02/20/2022,@ RIT,9-19,1,9,1,10,41,23,,,33,28,3,18,32,3,150,60:00,19,23,,,,,,15,20,0.750,
,Defensive Totals,,1,19,7,26,51,42/,2,,43,16,10,14,32,2,90,60:00,9,14,,,,,,24,25,0.960,
03/02/2022,@ DeSales,9-10 (1),1,9,4,13,42,25,1,,37,24,14,9,22,3,150,63:03,10,14,,,,,,20,28,0.714,
,Defensive Totals,,1,10,6,16,29,24,2,,34,28,13,13,22,8,390,63:03,9,16,,,,,,18,23,0.783,1/
03/05/2022,Susquehanna,16-6,1,16,9,25,65,43/,1,,42,13,15,12,25,3,300,60:00,6,9,,,,,,16,18,0.889,
,Defensive Totals,,1,6,3,9,34,15,2,,27,23,3,13,25,2,210,60:00,16,27,,,,,,14,22,0.636,
03/10/2022,Scranton,13-9,1,13,6,19,65,29,,,30,14,7,17,26,1,60,60:00,9,8,,,,,,19,22,0.864,
,Defensive Totals,,1,9,1,10,24,17,1,,17,21,3,9,26,5,240,60:00,13,16,,,,,,18,21,0.857,
03/12/2022,@  Kean,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/14/2022,@ Transylvania,17-8,1,17,11,28,47,27,2,,38,15,9,20,29,4,150,60:00,8,14,,,,,,15,20,0.750,
,Defensive Totals,,1,8,1,9,40,22,,,24,16,5,9,29,4,180,60:00,17,10,,,,,,13,18,0.722,
03/17/2022,@ Sewanee,19-5,1,19,15,34,54,36,6/,,40,19,16,14,28,7,510/,60:00,5,10,,,,,,19,24,0.792,
,Defensive Totals,,1,5,3,8,30,15,2,,29,29,6,14,28,6,360,60:00,19,17,,,,,,11,17,0.647,
03/26/2022,@ Washington Col.,13-8,1,13,7,20,47,33,1,,33,16,13,13,23,3,150,60:00,8,8,,,,,,15,17,0.882,
,Defensive Totals,,1,8,4,12,24,16,,,21,22,4,10,23,4,180,60:00,13,20,,,,,,19,24,0.792,
03/30/2022,Swarthmore,11-8,1,11,4,15,35,20,,,39,18,9,13,22,2,120,60:00,8,7,,,,,,17,19,0.895,
,Defensive Totals,,1,8,4,12,29,15,,,24,20,7,9,22,3,150,60:00,11,9,,,,,,15,16,0.938,
04/02/2022,@ Ursinus,8-5,1,8,1,9,38,25,,,30,11,5,9,17,2,90,60:00,5,15,,,,,,25,27,0.926,
,Defensive Totals,,1,5,2,7,33,20,,,35,15,6,8,17,2,90,60:00,8,17,,,,,,22,26,0.846,
04/09/2022,Franklin & Marshall,9-10,1,9,3,12,43,30,,,25,17,9,11,23,3,150,60:00,10,15,,,,,,14,18,0.778,
,Defensive Totals,,1,10,7,17,40,25,,,29,20,10,12,23,3,120,60:00,9,21,,,,,,17,21,0.810,
04/16/2022,@ Dickinson,10-14,1,10,6,16,37,22,1,,28,18,5,13,26,6,210,60:00,14,12,,,,,,15,22,0.682,
,Defensive Totals,,1,14,9,23,49,26,2,,33,12,15,13,26,4,150,60:00,10,12,,,,,,20,24,0.833,
04/20/2022,Haverford,19-8,1,19,12,31,47,30,,,31,16,11,13,30,2,90,60:00,8,14,,,,,,19,24,0.792,
,Defensive Totals,,1,8,2,10,31,22,,,32,22,8,17,30,4,150,60:00,19,11,,,,,,13,16,0.812,
04/24/2022,@ Gettysburg,3-5,1,3,2,5,36,14,,,19,18,7,4,11,2,90,60:00,5,16,,,,,,21,23,0.913,
,Defensive Totals,,1,5,3,8,32,21,,,25,12,11,7,11,5,240,60:00,3,11,,,,,,21,24,0.875,
04/30/2022,McDaniel,17-4,1,17,10,27,55,32,,,42,16,11,17,25,1,30,60:00,4,8,,,,,,17,20,0.850,
,Defensive Totals,,1,4,4,8,20,12,,,16,22,6,8,25,,,60:00,17,15,,,,,,18,21,0.857,
05/04/2022,@ Gettysburg,11-12,1,11,6,17,42,23,2,,29,9,5,11,25,3,120,60:00,12,10,,,,,,14,16,0.875,
,Defensive Totals,,1,12,7,19,42,22,1,,34,12,6,14,25,4,150,60:00,11,12,,,,,,16,16,1.000/,
